Sl. No.,Description,Qty. in meters,Qty. in Length of pipes.,Qty. in Length of pipes.~ ,Weight / Length (Kg),Weight / Meters (Kg),Total Weight (Kg),Rate,Total Rate,Remarks
1,GP Tube 50 x 25 x 1.4mm,12.5,2.08,2,10.5,1.75,21,95,1995,
2,GP Tube 80 x 40 x 1.4mm,23.6,3.93,5,17.28,2.88,86.4,95,8208,
3,Panel Mounting Profile,22.5,7.50,8,14.14,4.7,113.12,130,14705.60,
4,Walkway Profiles,4,4.00,4,7.2,7.2,28.8,130,3744,
5,End Clamps,8,8.00,8,0.71,0.7,5.68,130,738.40,
6,Welding Electrodes,1 Packet,,,,,,420,420,
7,Paint - Epoxy Primer,5 Ltrs.,,,,,,400,2000,
8,Thinner,3 Ltrs.,,,,,,170,510,
9,Cotton Waste,250g,,,,,,240,60,
10,Cotton Hand Gloves,6 Pair,,,,,,25,150,
11,Paint Brush 2'',1 No.,,,,,,50,50,
12,Paint Roller 4'',2 Nos.,,,,,,140,280,
13,MS Plate 5'',6 Nos.,,,,,,105,630,
14,Anchor Bolts- 10mm,25 Nos.,,,,,,18,450,
15,Cutting Wheel 4'',15 Nos.,,,,,,15,225,
16,Grinding Wheel 4'',3 Nos.,,,,,,30,90,
17,Silicon,14 Nos.,,,,,,210,2940,
18,Corroshield (1 inch),250 Nos.,,,,,,4.5,1125,
19,Panel clamp (End Clamp),50 Nos.,,,,,,25,1250,
,,,,Total,249.32,,,,,39571,
